sta,lat,lon
Montesoro_Bastia,42.671983,9.43505
Montsec,42.051417,0.729689
Moscow_MSU_MO,55.706947,37.522019
Mukdahan,16.606667,104.676111
Munich_Maisach,48.209,11.258
Munich_University,48.148,11.573
Murcia,38.001,-1.1707
Muscat,23.606383,58.435667
Mussafa,24.371667,54.466667
MVCO,41.325,-70.5667
Mwinilunga,-11.74,24.430667
Namibe,-15.159,12.178
Napoli_CeSMA,40.836842,14.306567
Narsarsuaq,61.155952,-45.419379
NASA_KSC,28.463763,-80.663476
NASA_LaRC,37.10496,-76.37864
NCU_Taiwan,24.967662,121.187508
ND_Marbel_Univ,6.496011,124.842531
Ndola,-12.995,28.658333
NEON_CVALLA,40.16063,-105.16725
NEON_Harvard,42.5369,-72.172661
NEON_KONZ,39.10077,-96.56309
NEON_OAES,35.41059,-99.05879
NEON_ONAQ,40.177589,-112.452439
NEON_ORNL,35.964128,-84.282588
NEON_OSBS,29.689269,-81.993431
NEON_RMNP,40.2759,-105.545972
NEON_SCBI,38.892919,-78.1395
NEON_TALL,32.950461,-87.393269
NEON_UNDE,46.233881,-89.53725
NEON_WOOD,47.128228,-99.241356
Nes_Ziona,31.9225,34.789167
New_Delhi,28.630467,77.1751
New_Delhi_IMD,28.5885,77.2216
NGHIA_DO,21.04778,105.79964
NhaTrang,12.204722,109.205556
Niabrara,42.764833,-100.02
Niamey,13.481389,2.172222
Nicelli_Airport,45.426444,12.382417
Nicosia,35.140628,33.381353
Niigata,37.846,138.942
Nong_Khai,17.8772,102.71671
Norfolk_State_Univ,36.848,-76.259
Noto,37.334444,137.136944
NSA_YJP_BOREAS,55.903,-98.290001
NUIST,32.206483,118.71715
OHP_OBSERVATOIRE,43.935,5.71
OK_St_Univ,35.04564,-97.91734
Okinawa,26.356667,127.768333
Omkoi,17.798333,98.431667
Oostende,51.225,2.925
ORS_UNAM_ISNP,19.399467,-99.203683
Osaka,34.650933,135.590633
Ouagadougou,12.42413,-1.48723
Ouarzazate,30.928367,-6.912867
Oujda,34.65331,-1.89846
Oukaimeden,31.208793,-7.864486
Oxford,51.759,-1.256
Oyster,37.295044,-75.933192
Paddockwood,53.507889,-105.561817
Pafos,34.71111,32.48333
Palaiseau,48.7116,2.215
Palangkaraya,-2.22799,113.94624
Palencia,41.988572,-4.515694
Palma_de_Mallorca,39.5533,2.6251
Pantnagar,29.046339,79.520889
Paris,48.846797,2.355508
PEARL,80.053611,-86.416944
Penn_State_Univ,40.7421,-78.0809
Petrolina_SONDA,-9.0691,-40.320108
Philadelphia,40.035667,-75.004667
Pickle_Lake,51.449444,-90.2175
Pilar_Cordoba,-31.667411,-63.882597
Pimai,15.181944,102.564167
Pioneer_JC,1.384333,103.754528
PKU_PEK,39.593,116.184
PNNL,46.34095,-119.2788
Pokhara,28.186643,83.97518
POLWET_Rzecin,52.762019,16.309589
Pontianak,0.07538,109.19086
Poprad-Ganovce,49.035,20.322
Porquerolles,43.001389,6.161389
Porto_Nacional,-10.7,-48.41
Porto_Velho,-8.77,-63.95
Porto_Velho_UNIR,-8.837083,-63.939983
Possession_Island,-27.010428,15.194255
Praia,14.947,-23.484
Pretoria_CSIR-DPSS,-25.756611,28.279722
Prospect_Hill,32.299314,-64.765092
Pune,18.537255,73.805491
QOMS_CAS,28.365,86.948056
Quarzazate,30.939,-6.909
Raciborz,50.0831,18.1917
Ragged_Point,13.165018,-59.432035
Railroad_Valley,38.497,-115.691
Rame_Head,50.317132,-4.219809
Ras_El_Ain,31.670278,-7.599444
Realtor,43.48555,5.383817
Red_Mountain_Pass,37.907449,-107.710917
Red_River_Delta,20.72853,106.1277
Resolute_Bay,74.705123,-94.969409
REUNION_ST_DENIS,-20.90139,55.48474
Rexburg_Idaho,43.82011,-111.78301
Rhyl_MO,53.25929,-3.50859
Rimrock,46.4875,-116.991667
Rio_Branco,-9.957467,-67.86935
Rio_de_Janeiro_UFRJ,-22.857306,-43.233806
Rio_Piedras,18.40185,-66.051483
Rogers_Dry_Lake,34.92555,-117.885
Rome_ESA_ESRIN,41.826667,12.671833
Rome_La_Sapienza,41.901695,12.515773
Rome_Tor_Vergata,41.83955,12.647333
Rossfeld,48.335139,7.62475
Saada,31.62583,-8.15583
Sable_Island,43.933,-60.01
SACOL,35.946,104.137083
SAGRES,37.047706,-8.873517
Saih_Salam,24.829467,55.312783
Sakeji_School,-11.232956,24.312
San_Giuliano,42.285556,9.519167
San_Nicolas,33.256889,-119.486972
San_Pietro_Capo,44.650001,11.619999
Sandia_NM_PSEL,35.054583,-106.540069
SANTA_CRUZ,-17.802133,-63.177717
Santa_Cruz_Tenerife,28.472528,-16.247361
SANTA_CRUZ_UTEPSA,-17.767325,-63.200961
Santa_Monica_Colg,34.01685,-118.47113
Santarem,-2.428584,-54.706
Santiago,-33.489633,-70.717033
Santiago_Beauchef,-33.457222,-70.661666
Sao_Martinho_SONDA,-29.443333,-53.823444
Sao_Paulo,-23.5615,-46.734983
Sao_Tome,0.37469,6.71099
Saturn_Island,48.775252,-123.128177
SDSU_IPLab,44.314828,-96.786075
SEARCH-Centreville,32.90289,-87.24968
SEARCH-OLF,30.54997,-87.37531
SEARCH-Yorkville,33.92833,-85.04555
SEDE_BOKER,30.855,34.782222
SEGC_Lope_Gabon,-0.20155,11.60082
Senanga,-16.108889,23.293333
Seoul_SNU,37.458056,126.951111
SERC,38.888901,-76.555795
Sesheke,-17.48083,24.303889
Sevastopol,44.615833,33.517333
Sevilleta,34.354721,-106.885002
